subtitle,authors,title,publishers,number_of_pages,physical_format,notes,works,publish_date,isbn_10,covers,full_title,isbn_13,last_modified,created,type,key,latest_revision,revision,source_records,name,id,publish_places,identifiers,pagination,classifications,copyright_date,table_of_contents,contributors,edition_name,oclc_numbers,languages,other_titles,subjects,links,subject_places,description,subject_times,excerpts,subject_people,series,lc_classifications,first_publish_date,dewey_number,physical_dimensions,first_sentence,weight,translation_of,by_statement,translated_from,dewey_decimal_class,ocaid,location,publish_country,personal_name
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL245124A'}}]",Father Amorth,,,,,,,,[11300674],,,"{'type': '/type/datetime', 'value': '2021-06-24T03:36:17.540847'}","{'type': '/type/datetime', 'value': '2021-06-24T03:36:17.540847'}",{'key': '/type/work'},/works/OL24625194W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Battle Against Satan,[{'key': '/authors/OL245124A'}],Father Amorth,['Sophia Institute Press'],208,paperback,"{'type': '/type/text', 'value': 'Source title: Father Amorth: My Battle Against Satan'}",[{'key': '/works/OL24625194W'}],"Nov 15, 2018",['1622826086'],[11300674],Father Amorth : My Battle Against Satan,['9781622826087'],"{'type': '/type/datetime', 'value': '2021-06-24T03:36:17.540847'}","{'type': '/type/datetime', 'value': '2021-06-24T03:36:17.540847'}",{'key': '/type/edition'},/books/OL32672040M,1,1,['amazon:1622826086'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8081783A'}}]",World Works,,,,,,,,[11300673],,,"{'type': '/type/datetime', 'value': '2021-06-24T03:28:08.208212'}","{'type': '/type/datetime', 'value': '2021-06-24T03:28:08.208212'}",{'key': '/type/work'},/works/OL24625191W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL8081783A'}],World Works,['McGraw-Hill/Glencoe'],,paperback,,[{'key': '/works/OL24625191W'}],,['0078780225'],[11300673],,['9780078780226'],"{'type': '/type/datetime', 'value': '2021-06-24T03:28:08.208212'}","{'type': '/type/datetime', 'value': '2021-06-24T03:28:08.208212'}",{'key': '/type/edition'},/books/OL32672038M,1,1,['amazon:0078780225'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7554676A'}}]",The Battle for Black,,,,,,,,[11300672],,,"{'type': '/type/datetime', 'value': '2021-06-24T03:16:59.137493'}","{'type': '/type/datetime', 'value': '2021-06-24T03:16:59.137493'}",{'key': '/type/work'},/works/OL24625189W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7554676A'}],The Battle for Black,['CreateSpace Independent Publishing Platform'],298,paperback,"{'type': '/type/text', 'value': 'Source title: The Battle for Black (Juxtapose City 3) (Volume 3)'}",[{'key': '/works/OL24625189W'}],"Oct 31, 2015",['1518849369'],[11300672],,['9781518849367'],"{'type': '/type/datetime', 'value': '2021-06-24T03:16:59.137493'}","{'type': '/type/datetime', 'value': '2021-06-24T03:16:59.137493'}",{'key': '/type/edition'},/books/OL32671993M,1,1,['amazon:1518849369'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL6982808A'}],Outlawed,['Bloomsbury Publishing'],272,paperback,,[{'key': '/works/OL21914114W'}],"Jan 04, 2022",['1635578248'],[11300671],Outlawed,['9781635578249'],"{'type': '/type/datetime', 'value': '2021-06-24T02:50:33.228866'}","{'type': '/type/datetime', 'value': '2021-06-24T02:50:33.228866'}",{'key': '/type/edition'},/books/OL32671991M,1,1,['amazon:1635578248'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6462881A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7483163A'}}]","Museum of Abandoned Secrets, The",,,,,,,,[11300670],,,"{'type': '/type/datetime', 'value': '2021-06-24T02:28:51.618849'}","{'type': '/type/datetime', 'value': '2021-06-24T02:28:51.618849'}",{'key': '/type/work'},/works/OL24625188W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL6462881A'}, {'key': '/authors/OL7483163A'}]","Museum of Abandoned Secrets, The",['Brilliance Audio'],,mp3 cd,,[{'key': '/works/OL24625188W'}],"Oct 11, 2016",['1531880274'],[11300670],,['9781531880279'],"{'type': '/type/datetime', 'value': '2021-06-24T02:28:51.618849'}","{'type': '/type/datetime', 'value': '2021-06-24T02:28:51.618849'}",{'key': '/type/edition'},/books/OL32671990M,1,1,['amazon:1531880274'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7562565A'}}]",História da Paz,,,,,,,,[11300669],,,"{'type': '/type/datetime', 'value': '2021-06-24T01:56:11.492440'}","{'type': '/type/datetime', 'value': '2021-06-24T01:56:11.492440'}",{'key': '/type/work'},/works/OL24625187W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7562565A'}],História da Paz,['Contexto'],,paperback,,[{'key': '/works/OL24625187W'}],"Jun 24, 2008",['8572443967'],[11300669],,['9788572443968'],"{'type': '/type/datetime', 'value': '2021-06-24T01:56:11.492440'}","{'type': '/type/datetime', 'value': '2021-06-24T01:56:11.492440'}",{'key': '/type/edition'},/books/OL32671938M,1,1,['amazon:8572443967'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL8370982A'}],Consent,['HarperCollins B and Blackstone Publishing'],1,audio cd,,[{'key': '/works/OL21910358W'}],"Feb 16, 2021",['1799951499'],[11300668],Consent,['9781799951490'],"{'type': '/type/datetime', 'value': '2021-06-24T01:14:51.337373'}","{'type': '/type/datetime', 'value': '2021-06-24T01:14:51.337373'}",{'key': '/type/edition'},/books/OL32671936M,1,1,['amazon:1799951499'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Memoir,"[{'key': '/authors/OL8370982A'}, {'key': '/authors/OL8117529A'}]",Consent,['HarperVia'],208,paperback,"{'type': '/type/text', 'value': 'Source title: Consent: A Memoir'}",[{'key': '/works/OL21910358W'}],"Jan 04, 2022",['006304790X'],[11300667],Consent A Memoir,['9780063047907'],"{'type': '/type/datetime', 'value': '2021-06-24T01:14:48.810792'}","{'type': '/type/datetime', 'value': '2021-06-24T01:14:48.810792'}",{'key': '/type/edition'},/books/OL32671935M,1,1,['amazon:006304790X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL6466697A'}],Principles of Healthcare Reimbursement,['AHIMA'],,paperback,,[{'key': '/works/OL18792997W'}],"Feb 01, 1921",['158426800X'],[11300666],Principles of Healthcare Reimbursement,['9781584268000'],"{'type': '/type/datetime', 'value': '2021-06-24T01:10:31.430548'}","{'type': '/type/datetime', 'value': '2021-06-24T01:10:31.430548'}",{'key': '/type/edition'},/books/OL32671934M,1,1,['amazon:158426800X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Ice Lion,,,,,,,,[11300665],,,"{'type': '/type/datetime', 'value': '2021-06-24T00:21:02.632169'}","{'type': '/type/datetime', 'value': '2021-06-24T00:21:02.632169'}",{'key': '/type/work'},/works/OL24625184W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Ice Lion,,,audio cd,,[{'key': '/works/OL24625184W'}],,['1713605155'],[11300665],The Ice Lion,['9781713605157'],"{'type': '/type/datetime', 'value': '2021-06-24T00:21:02.632169'}","{'type': '/type/datetime', 'value': '2021-06-24T00:21:02.632169'}",{'key': '/type/edition'},/books/OL32671884M,1,1,['amazon:1713605155'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL7471417A'}, {'key': '/authors/OL7929335A'}, {'key': '/authors/OL7984819A'}]",The Ice Lion,['Brilliance Audio'],,audio cd,,[{'key': '/works/OL24161809W'}],"Jun 15, 2021",['1713562510'],[11300664],The Ice Lion,['9781713562511'],"{'type': '/type/datetime', 'value': '2021-06-24T00:20:57.882088'}","{'type': '/type/datetime', 'value': '2021-06-24T00:20:57.882088'}",{'key': '/type/edition'},/books/OL32671883M,1,1,['amazon:1713562510'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL1385427A'}],Murder at Sunrise Lake,['Berkley'],432,hardcover,,[{'key': '/works/OL24625183W'}],"Jun 29, 2021",['0593333144'],[11300663],Murder at Sunrise Lake,['9780593333143'],"{'type': '/type/datetime', 'value': '2021-06-24T00:17:34.780065'}","{'type': '/type/datetime', 'value': '2021-06-24T00:17:34.780065'}",{'key': '/type/edition'},/books/OL32671882M,1,1,['amazon:0593333144'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL1385427A'}}]",Murder at Sunrise Lake,,,,,,,,[11300662],,,"{'type': '/type/datetime', 'value': '2021-06-24T00:17:26.762112'}","{'type': '/type/datetime', 'value': '2021-06-24T00:17:26.762112'}",{'key': '/type/work'},/works/OL24625183W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL1385427A'}],Murder at Sunrise Lake,['Thorndike Press Large Print'],,library binding,,[{'key': '/works/OL24625183W'}],"Oct 13, 2021",['1432890603'],[11300662],,['9781432890605'],"{'type': '/type/datetime', 'value': '2021-06-24T00:17:26.762112'}","{'type': '/type/datetime', 'value': '2021-06-24T00:17:26.762112'}",{'key': '/type/edition'},/books/OL32671881M,1,1,['amazon:1432890603'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL1385427A'}],Dark Tarot,"['Recorded Books, Inc.']",,audio cd,,[{'key': '/works/OL24398475W'}],"Nov 09, 2021",['1705024750'],[11300661],Dark Tarot,['9781705024751'],"{'type': '/type/datetime', 'value': '2021-06-24T00:17:07.300806'}","{'type': '/type/datetime', 'value': '2021-06-24T00:17:07.300806'}",{'key': '/type/edition'},/books/OL32671880M,1,1,['amazon:1705024750'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL1385427A'}}]",Phantom Game,,,,,,,,[11300660],,,"{'type': '/type/datetime', 'value': '2021-06-24T00:15:58.396956'}","{'type': '/type/datetime', 'value': '2021-06-24T00:15:58.396956'}",{'key': '/type/work'},/works/OL24625182W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL1385427A'}],Phantom Game,['Berkley'],400,hardcover,"{'type': '/type/text', 'value': 'Source title: Phantom Game (A GhostWalker Novel)'}",[{'key': '/works/OL24625182W'}],"Mar 01, 2022",['0593439082'],[11300660],,['9780593439081'],"{'type': '/type/datetime', 'value': '2021-06-24T00:15:58.396956'}","{'type': '/type/datetime', 'value': '2021-06-24T00:15:58.396956'}",{'key': '/type/edition'},/books/OL32671879M,1,1,['amazon:0593439082'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Fascination Fix,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T00:16:22.141329'}","{'type': '/type/datetime', 'value': '2021-06-24T00:14:27.519770'}",{'key': '/type/work'},/works/OL24625181W,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Fascination Fix,['Grant Archibald'],,,,[{'key': '/works/OL24625181W'}],2021,,,,,"{'type': '/type/datetime', 'value': '2021-06-24T00:16:22.141329'}","{'type': '/type/datetime', 'value': '2021-06-24T00:14:27.519770'}",{'key': '/type/edition'},/books/OL32671878M,2,2,,,,"['Keene, Ontario, Canada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL9161601A'}, {'key': '/authors/OL9161601A'}]",Birdmen - Tome 4,['VEGA MANGA'],192,paperback,"{'type': '/type/text', 'value': 'Source title: Birdmen - Tome 4 (Shonen Vega-Dupuis) (French Edition)'}",[{'key': '/works/OL24625179W'}],"Jun 04, 2021",['2379500940'],[11300659],,['9782379500947'],"{'type': '/type/datetime', 'value': '2021-06-23T23:41:25.470336'}","{'type': '/type/datetime', 'value': '2021-06-23T23:41:25.470336'}",{'key': '/type/edition'},/books/OL32671877M,1,1,['amazon:2379500940'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9161601A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9161601A'}}]",Birdmen - Tome 4,,,,,,,,[11300658],,,"{'type': '/type/datetime', 'value': '2021-06-23T23:41:25.057804'}","{'type': '/type/datetime', 'value': '2021-06-23T23:41:25.057804'}",{'key': '/type/work'},/works/OL24625179W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL9161601A'}, {'key': '/authors/OL9161601A'}]",Birdmen - Tome 4,['VEGA MANGA'],192,paperback,"{'type': '/type/text', 'value': 'Source title: Birdmen - Tome 4 (Shonen Vega-Dupuis) (French Edition)'}",[{'key': '/works/OL24625179W'}],"Jun 04, 2021",['2379500940'],[11300658],,['9782379500947'],"{'type': '/type/datetime', 'value': '2021-06-23T23:41:25.057804'}","{'type': '/type/datetime', 'value': '2021-06-23T23:41:25.057804'}",{'key': '/type/edition'},/books/OL32671876M,1,1,['amazon:2379500940'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL8594166A'}],Heaven's Reach,"['Recorded Books, Inc. and Blackstone Publishing']",1,audio cd,"{'type': '/type/text', 'value': ""Source title: Heaven's Reach (The Uplift Series)""}",[{'key': '/works/OL24523104W'}],"Mar 11, 2010",['1664497196'],[11300657],Heaven's Reach,['9781664497191'],"{'type': '/type/datetime', 'value': '2021-06-23T23:38:29.775201'}","{'type': '/type/datetime', 'value': '2021-06-23T23:38:29.775201'}",{'key': '/type/edition'},/books/OL32671875M,1,1,['amazon:1664497196'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7786161A'}}]",Out of the Storm,,,,,,,,[11300653],,,"{'type': '/type/datetime', 'value': '2021-06-23T23:22:32.243601'}","{'type': '/type/datetime', 'value': '2021-06-23T23:22:32.243601'}",{'key': '/type/work'},/works/OL24625177W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7786161A'}],Out of the Storm,['Avery Gale Books'],232,paperback,"{'type': '/type/text', 'value': 'Source title: Out of the Storm (Masters of the Prairie Winds Club) (Volume 1)'}",[{'key': '/works/OL24625177W'}],"Apr 27, 2016",['1944472177'],[11300653],Out of the Storm,['9781944472177'],"{'type': '/type/datetime', 'value': '2021-06-23T23:22:32.243601'}","{'type': '/type/datetime', 'value': '2021-06-23T23:22:32.243601'}",{'key': '/type/edition'},/books/OL32671834M,1,1,['amazon:1944472177'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7460658A'}}]",Every Stitch Tells A Story Stitch Illo,,,,,,,,[11300652],,,"{'type': '/type/datetime', 'value': '2021-06-23T23:09:01.890435'}","{'type': '/type/datetime', 'value': '2021-06-23T23:09:01.890435'}",{'key': '/type/work'},/works/OL24625176W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7460658A'}],Every Stitch Tells A Story Stitch Illo,['Central Books'],,paperback,,[{'key': '/works/OL24625176W'}],"Jun 23, 2017",['1927987040'],[11300652],,['9781927987049'],"{'type': '/type/datetime', 'value': '2021-06-23T23:09:01.890435'}","{'type': '/type/datetime', 'value': '2021-06-23T23:09:01.890435'}",{'key': '/type/edition'},/books/OL32671833M,1,1,['amazon:1927987040'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8595396A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8595396A'}}]",Super HxEros T04,,,,,,,,[11300651],,,"{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.040761'}","{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.040761'}",{'key': '/type/work'},/works/OL24625175W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL8595396A'}, {'key': '/authors/OL8595396A'}]",Super HxEros T04,['DELCOURT'],192,paperback,"{'type': '/type/text', 'value': 'Source title: Super HxEros T04 (Super Hxeros, 4) (French Edition)'}",[{'key': '/works/OL24625175W'}],"Jun 16, 2021",['2413015906'],[11300651],,['9782413015901'],"{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.040761'}","{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.040761'}",{'key': '/type/edition'},/books/OL32671832M,1,1,['amazon:2413015906'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8595396A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8595396A'}}]",Super HxEros T04,,,,,,,,[11300650],,,"{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.028485'}","{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.028485'}",{'key': '/type/work'},/works/OL24625174W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL8595396A'}, {'key': '/authors/OL8595396A'}]",Super HxEros T04,['DELCOURT'],192,paperback,"{'type': '/type/text', 'value': 'Source title: Super HxEros T04 (Super Hxeros, 4) (French Edition)'}",[{'key': '/works/OL24625174W'}],"Jun 16, 2021",['2413015906'],[11300650],,['9782413015901'],"{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.028485'}","{'type': '/type/datetime', 'value': '2021-06-23T23:02:53.028485'}",{'key': '/type/edition'},/books/OL32671831M,1,1,['amazon:2413015906'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8595396A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8595396A'}}]",Super HxEros T04,,,,,,,,[11300649],,,"{'type': '/type/datetime', 'value': '2021-06-23T23:02:52.917711'}","{'type': '/type/datetime', 'value': '2021-06-23T23:02:52.917711'}",{'key': '/type/work'},/works/OL24625173W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL8595396A'}, {'key': '/authors/OL8595396A'}]",Super HxEros T04,['DELCOURT'],192,paperback,"{'type': '/type/text', 'value': 'Source title: Super HxEros T04 (Super Hxeros, 4) (French Edition)'}",[{'key': '/works/OL24625173W'}],"Jun 16, 2021",['2413015906'],[11300649],,['9782413015901'],"{'type': '/type/datetime', 'value': '2021-06-23T23:02:52.917711'}","{'type': '/type/datetime', 'value': '2021-06-23T23:02:52.917711'}",{'key': '/type/edition'},/books/OL32671830M,1,1,['amazon:2413015906'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}",{'key': '/type/author'},/authors/OL9282089A,1,1,['amazon:2408024463'],Katherine FERRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}",{'key': '/type/author'},/authors/OL9282090A,1,1,['amazon:2408024463'],Clémence Sapin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282089A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8680141A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282090A'}}]","Möun, Tome 01",,,,,,,,[11300648],,,"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}",{'key': '/type/work'},/works/OL24625171W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bienvenue au clos des dragons !,"[{'key': '/authors/OL9282089A'}, {'key': '/authors/OL8680141A'}, {'key': '/authors/OL9282090A'}]","Möun, Tome 01",['BD KIDS'],64,paperback,"{'type': '/type/text', 'value': 'Source title: Möun, Tome 01: Bienvenue au clos des dragons\xa0! (Möun, 1) (French Edition)'}",[{'key': '/works/OL24625171W'}],"Feb 10, 2021",['2408024463'],[11300648],"Möun, Tome 01 : Bienvenue au clos des dragons !",['9782408024468'],"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.277181'}",{'key': '/type/edition'},/books/OL32671829M,1,1,['amazon:2408024463'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}",{'key': '/type/author'},/authors/OL9282087A,1,1,['amazon:2408024463'],Katherine FERRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}",{'key': '/type/author'},/authors/OL9282088A,1,1,['amazon:2408024463'],Clémence Sapin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282087A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8680141A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282088A'}}]","Möun, Tome 01",,,,,,,,[11300647],,,"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}",{'key': '/type/work'},/works/OL24625170W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bienvenue au clos des dragons !,"[{'key': '/authors/OL9282087A'}, {'key': '/authors/OL8680141A'}, {'key': '/authors/OL9282088A'}]","Möun, Tome 01",['BD KIDS'],64,paperback,"{'type': '/type/text', 'value': 'Source title: Möun, Tome 01: Bienvenue au clos des dragons\xa0! (Möun, 1) (French Edition)'}",[{'key': '/works/OL24625170W'}],"Feb 10, 2021",['2408024463'],[11300647],"Möun, Tome 01 : Bienvenue au clos des dragons !",['9782408024468'],"{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}","{'type': '/type/datetime', 'value': '2021-06-23T22:58:14.212851'}",{'key': '/type/edition'},/books/OL32671828M,1,1,['amazon:2408024463'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7705307A'}}]",Hellish,,,,,,,,[11300646],,,"{'type': '/type/datetime', 'value': '2021-06-23T22:52:41.788477'}","{'type': '/type/datetime', 'value': '2021-06-23T22:52:41.788477'}",{'key': '/type/work'},/works/OL24625169W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7705307A'}],Hellish,"['Independently published', 'Independently Published']",356,paperback,"{'type': '/type/text', 'value': 'Source title: Hellish (Hellish Collection)'}",[{'key': '/works/OL24625169W'}],"Apr 24, 2018",['1980923817'],[11300646],Hellish,['9781980923817'],"{'type': '/type/datetime', 'value': '2021-06-23T22:52:41.788477'}","{'type': '/type/datetime', 'value': '2021-06-23T22:52:41.788477'}",{'key': '/type/edition'},/books/OL32671827M,1,1,['amazon:1980923817'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Novel,[{'key': '/authors/OL7838942A'}],No Words,['William Morrow Paperbacks'],368,paperback,"{'type': '/type/text', 'value': 'Source title: No Words: A Novel (Little Bridge Island, 3)'}",[{'key': '/works/OL24385536W'}],"Sep 28, 2021",['0062890093'],[11300645],No Words A Novel,['9780062890092'],"{'type': '/type/datetime', 'value': '2021-06-23T22:49:08.956046'}","{'type': '/type/datetime', 'value': '2021-06-23T22:49:08.956046'}",{'key': '/type/edition'},/books/OL32671825M,1,1,['amazon:0062890093'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL7377645A'}, {'key': '/authors/OL8006422A'}]",High Stakes,['Grand Central Publishing'],,audio cd,,[{'key': '/works/OL24625168W'}],"Sep 07, 2021",['1549141422'],[11300644],High Stakes,['9781549141423'],"{'type': '/type/datetime', 'value': '2021-06-23T22:46:39.169555'}","{'type': '/type/datetime', 'value': '2021-06-23T22:46:39.169555'}",{'key': '/type/edition'},/books/OL32671824M,1,1,['amazon:1549141422'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'key': '/authors/OL7377645A'}, {'key': '/authors/OL8006422A'}]",The Bullet,['Grand Central Publishing'],,audio cd,,[{'key': '/works/OL24579302W'}],"Jan 25, 2022",['1549166131'],[11300643],The Bullet,['9781549166136'],"{'type': '/type/datetime', 'value': '2021-06-23T22:45:34.525954'}","{'type': '/type/datetime', 'value': '2021-06-23T22:45:34.525954'}",{'key': '/type/edition'},/books/OL32671823M,1,1,['amazon:1549166131'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7377645A'}],High Stakes,['Grand Central Publishing'],480,hardcover,,[{'key': '/works/OL24625168W'}],"Sep 07, 2021",['1538707039'],[11300642],High Stakes,['9781538707036'],"{'type': '/type/datetime', 'value': '2021-06-23T22:44:07.997927'}","{'type': '/type/datetime', 'value': '2021-06-23T22:44:07.997927'}",{'key': '/type/edition'},/books/OL32671822M,1,1,['amazon:1538707039'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7377645A'}}]",High Stakes,,,,,,,,[11300641],,,"{'type': '/type/datetime', 'value': '2021-06-23T22:43:52.613753'}","{'type': '/type/datetime', 'value': '2021-06-23T22:43:52.613753'}",{'key': '/type/work'},/works/OL24625168W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[{'key': '/authors/OL7377645A'}],High Stakes,['Grand Central Publishing'],368,hardcover,,[{'key': '/works/OL24625168W'}],"Sep 07, 2021",['1538713101'],[11300641],High Stakes,['9781538713105'],"{'type': '/type/datetime', 'value': '2021-06-23T22:43:52.613753'}","{'type': '/type/datetime', 'value': '2021-06-23T22:43:52.613753'}",{'key': '/type/edition'},/books/OL32671821M,1,1,['amazon:1538713101'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
