,subtitle,authors,title,publishers,number_of_pages,physical_format,notes,works,publish_date,isbn_10,covers,full_title,isbn_13,last_modified,created,type,key,latest_revision,revision,source_records,name,id,publish_places,identifiers,pagination,classifications,copyright_date,table_of_contents,contributors,edition_name,oclc_numbers,languages,other_titles,subjects,links,subject_places,description,subject_times,excerpts,subject_people,series,lc_classifications,first_publish_date,dewey_number,physical_dimensions,first_sentence,weight,translation_of,by_statement,translated_from,dewey_decimal_class,ocaid,location,publish_country,personal_name,authors_key,books_key
853,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282066A'}}]",The Key ...,,,,,,,,[11300518],,,"{'type': '/type/datetime', 'value': '2021-06-23T22:02:43.281037'}","{'type': '/type/datetime', 'value': '2021-06-23T22:02:43.281037'}",{'key': '/type/work'},/works/OL24625075W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625075W
854,,[{'key': '/authors/OL9282066A'}],The Key ...,['Lulu.com'],26.0,hardcover,,[{'key': '/works/OL24625075W'}],"Jul 12, 2016",['1365254038'],[11300518],,['9781365254031'],"{'type': '/type/datetime', 'value': '2021-06-23T22:02:43.281037'}","{'type': '/type/datetime', 'value': '2021-06-23T22:02:43.281037'}",{'key': '/type/edition'},/books/OL32671662M,1,1,['amazon:1365254038'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282066A,/books/OL32671662M
855,Nar-Anon,[{'key': '/authors/OL7546206A'}],Adult Coloring Journal,['Adult Coloring Journal Press'],162.0,paperback,"{'type': '/type/text', 'value': 'Source title: Adult Coloring Journal: Nar-Anon (Pet Illustrations, Bubblegum)'}",[{'key': '/works/OL24349756W'}],"Sep 26, 2016",['1360957359'],[11300517],Adult Coloring Journal Nar-Anon,['9781360957357'],"{'type': '/type/datetime', 'value': '2021-06-23T22:02:18.722760'}","{'type': '/type/datetime', 'value': '2021-06-23T22:02:18.722760'}",{'key': '/type/edition'},/books/OL32671661M,1,1,['amazon:1360957359'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7546206A,/books/OL32671661M
856,Gam-Anon/Gam-A-Teen,[{'key': '/authors/OL7546206A'}],Adult Coloring Journal,['Adult Coloring Journal Press'],162.0,paperback,"{'type': '/type/text', 'value': 'Source title: Adult Coloring Journal: Gam-Anon/Gam-A-Teen (Pet Illustrations, Purple Bubbles)'}",[{'key': '/works/OL24349756W'}],"Sep 26, 2016",['1360953493'],[11300516],Adult Coloring Journal Gam-Anon/Gam-A-Teen,['9781360953496'],"{'type': '/type/datetime', 'value': '2021-06-23T22:02:15.119575'}","{'type': '/type/datetime', 'value': '2021-06-23T22:02:15.119575'}",{'key': '/type/edition'},/books/OL32671660M,1,1,['amazon:1360953493'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7546206A,/books/OL32671660M
857,Trauma,[{'key': '/authors/OL7546206A'}],Maltagebuch für Erwachsene,['Adult Coloring Journal Press'],162.0,paperback,"{'type': '/type/text', 'value': 'Source title: Maltagebuch für Erwachsene: Trauma (Naturillustrationen, Pastellblumen) (German Edition)'}",[{'key': '/works/OL24351246W'}],"Jun 22, 2016",['1359974210'],[11300515],Maltagebuch für Erwachsene Trauma,['9781359974211'],"{'type': '/type/datetime', 'value': '2021-06-23T22:02:01.132954'}","{'type': '/type/datetime', 'value': '2021-06-23T22:02:01.132954'}",{'key': '/type/edition'},/books/OL32671659M,1,1,['amazon:1359974210'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7546206A,/books/OL32671659M
858,Gratitude,[{'key': '/authors/OL7546206A'}],Journal de coloration adulte,['Adult Coloring Journal Press'],162.0,paperback,"{'type': '/type/text', 'value': 'Source title: Journal de coloration adulte: Gratitude (Illustrations de nature, Chevron aquarelle) (French Edition)'}",[{'key': '/works/OL24350788W'}],"Jun 19, 2016",['1359831738'],[11300514],Journal de coloration adulte Gratitude,['9781359831736'],"{'type': '/type/datetime', 'value': '2021-06-23T22:01:13.986554'}","{'type': '/type/datetime', 'value': '2021-06-23T22:01:13.986554'}",{'key': '/type/edition'},/books/OL32671658M,1,1,['amazon:1359831738'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7546206A,/books/OL32671658M
859,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T22:00:52.914578'}","{'type': '/type/datetime', 'value': '2021-06-23T22:00:52.914578'}",{'key': '/type/author'},/authors/OL9282065A,1,1,['amazon:284596031X'],Pierre-Yves Gabrion Emmanuel Trï¿½dez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282065A
860,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282065A'}}]",L' Avaleur de couleuvres,,,,,,,,[11300513],,,"{'type': '/type/datetime', 'value': '2021-06-23T22:00:52.914578'}","{'type': '/type/datetime', 'value': '2021-06-23T22:00:52.914578'}",{'key': '/type/work'},/works/OL24625074W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625074W
861,,[{'key': '/authors/OL9282065A'}],L' Avaleur de couleuvres,['400 coups (Les)'],,paperback,,[{'key': '/works/OL24625074W'}],"Nov 12, 2001",['284596031X'],[11300513],,['9782845960312'],"{'type': '/type/datetime', 'value': '2021-06-23T22:00:52.914578'}","{'type': '/type/datetime', 'value': '2021-06-23T22:00:52.914578'}",{'key': '/type/edition'},/books/OL32671657M,1,1,['amazon:284596031X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282065A,/books/OL32671657M
862,Sexuality,[{'key': '/authors/OL7546206A'}],Adult Coloring Journal,['Adult Coloring Journal Press'],162.0,paperback,"{'type': '/type/text', 'value': 'Source title: Adult Coloring Journal: Sexuality (Butterfly Illustrations, Eiffel Tower)'}",[{'key': '/works/OL24349756W'}],"Jun 01, 2016",['1359790195'],[11300512],Adult Coloring Journal Sexuality,['9781359790194'],"{'type': '/type/datetime', 'value': '2021-06-23T22:00:41.816349'}","{'type': '/type/datetime', 'value': '2021-06-23T22:00:41.816349'}",{'key': '/type/edition'},/books/OL32671656M,1,1,['amazon:1359790195'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7546206A,/books/OL32671656M
863,,[{'key': '/authors/OL1073097A'}],Russian Literary Attitudes from Pushkin to Solzhenitsyn,['Palgrave'],168.0,paperback,,[{'key': '/works/OL4970044W'}],"Jan 14, 2014",['1349028606'],[11300511],Russian Literary Attitudes from Pushkin to Solzhenitsyn,['9781349028603'],"{'type': '/type/datetime', 'value': '2021-06-23T22:00:16.736694'}","{'type': '/type/datetime', 'value': '2021-06-23T22:00:16.736694'}",{'key': '/type/edition'},/books/OL32671655M,1,1,['amazon:1349028606'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL1073097A,/books/OL32671655M
864,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6004136A'}}]",A Memoir of Dr. James Jackson,,,,,,,,[11300510],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:59:49.159770'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:49.159770'}",{'key': '/type/work'},/works/OL24625073W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625073W
865,"With Sketches of His Father, Hon. Jonathan Jackson, and His Brothers, Robert, Henry, Charles, and Patrick Tracy Jackson; and Some Account of Their Ancestry",[{'key': '/authors/OL6004136A'}],A Memoir of Dr. James Jackson,['Arkose Press'],558.0,hardcover,"{'type': '/type/text', 'value': 'Source title: A Memoir of Dr. James Jackson: With Sketches of His Father, Hon. Jonathan Jackson, and His Brothers, Robert, Henry, Charles, and Patrick Tracy Jackson; and Some Account of Their Ancestry'}",[{'key': '/works/OL24625073W'}],"Nov 08, 2015",['1346282943'],[11300510],"A Memoir of Dr. James Jackson With Sketches of His Father, Hon. Jonathan Jackson, and His Brothers, Robert, Henry, Charles, and Patrick Tracy Jackson; and Some Account of Their Ancestry",['9781346282947'],"{'type': '/type/datetime', 'value': '2021-06-23T21:59:49.159770'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:49.159770'}",{'key': '/type/edition'},/books/OL32671654M,1,1,['amazon:1346282943'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL6004136A,/books/OL32671654M
866,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9226952A'}}]","The History of the Jesuits in England, 1580-1773",,,,,,,,[11300509],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:59:31.348874'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:31.348874'}",{'key': '/type/work'},/works/OL24625072W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625072W
867,,[{'key': '/authors/OL9226952A'}],"The History of the Jesuits in England, 1580-1773",['Arkose Press'],560.0,hardcover,,[{'key': '/works/OL24625072W'}],"Nov 07, 2015",['1346248273'],[11300509],"The History of the Jesuits in England, 1580-1773",['9781346248271'],"{'type': '/type/datetime', 'value': '2021-06-23T21:59:31.348874'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:31.348874'}",{'key': '/type/edition'},/books/OL32671653M,1,1,['amazon:1346248273'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9226952A,/books/OL32671653M
868,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8447275A'}}]","The North American Review, Volume 77",,,,,,,,[11300508],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:59:26.096871'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:26.096871'}",{'key': '/type/work'},/works/OL24625071W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625071W
869,,[{'key': '/authors/OL8447275A'}],"The North American Review, Volume 77",['Arkose Press'],560.0,hardcover,,[{'key': '/works/OL24625071W'}],"Nov 07, 2015",['1346243506'],[11300508],"The North American Review, Volume 77",['9781346243504'],"{'type': '/type/datetime', 'value': '2021-06-23T21:59:26.096871'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:26.096871'}",{'key': '/type/edition'},/books/OL32671652M,1,1,['amazon:1346243506'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL8447275A,/books/OL32671652M
870,,[{'key': '/authors/OL5989354A'}],The Reformation,['Arkose Press'],562.0,hardcover,,[{'key': '/works/OL13090868W'}],"Nov 07, 2015",['134623891X'],[11300507],The Reformation,['9781346238913'],"{'type': '/type/datetime', 'value': '2021-06-23T21:59:19.416793'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:19.416793'}",{'key': '/type/edition'},/books/OL32671651M,1,1,['amazon:134623891X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL5989354A,/books/OL32671651M
871,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL5358621A'}}]",Compressed air plant,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T21:59:02.281716'}","{'type': '/type/datetime', 'value': '2009-12-11T06:29:41.535762'}",{'key': '/type/work'},/works/OL12266607W,3,3,,,,,,,,,,,,,,,"['Compressed air', 'Mining engineering']",,,,,,,,"['TJ985 .P4 1930', 'TJ985 .P4 1930']",1930,['621.5'],,,,,,,,,,,,/type/author_role,/works/OL12266607W
872,"The Production, Transmission and Use of Compressed Air, With Special Reference to Mine Service",[{'key': '/authors/OL5358621A'}],Compressed Air Plant,['Arkose Press'],564.0,hardcover,"{'type': '/type/text', 'value': 'Source title: Compressed Air Plant: The Production, Transmission and Use of Compressed Air, With Special Reference to Mine Service'}",[{'key': '/works/OL12266607W'}],"Nov 07, 2015",['1346211094'],[11300506],"Compressed Air Plant The Production, Transmission and Use of Compressed Air, With Special Reference to Mine Service",['9781346211091'],"{'type': '/type/datetime', 'value': '2021-06-23T21:59:02.281716'}","{'type': '/type/datetime', 'value': '2021-06-23T21:59:02.281716'}",{'key': '/type/edition'},/books/OL32671649M,1,1,['amazon:1346211094'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL5358621A,/books/OL32671649M
873,,,,,,,,,,,,,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:45.495096'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:45.495096'}",{'key': '/type/author'},/authors/OL9282064A,1,1,['amazon:1346166897'],Glasgow And West Of Scotland Medical Ass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282064A
874,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9282064A'}}]","Glasgow Medical Journal, Volume 67",,,,,,,,[11300505],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:45.495096'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:45.495096'}",{'key': '/type/work'},/works/OL24625070W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625070W
875,,[{'key': '/authors/OL9282064A'}],"Glasgow Medical Journal, Volume 67",['Arkose Press'],568.0,hardcover,,[{'key': '/works/OL24625070W'}],"Nov 06, 2015",['1346166897'],[11300505],,['9781346166896'],"{'type': '/type/datetime', 'value': '2021-06-23T21:58:45.495096'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:45.495096'}",{'key': '/type/edition'},/books/OL32671648M,1,1,['amazon:1346166897'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9282064A,/books/OL32671648M
876,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8708135A'}}]","Statistical Abstract For The British Empire, Issues 33-34",,,,,,,,[11300504],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:42.913717'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:42.913717'}",{'key': '/type/work'},/works/OL24625069W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625069W
877,,[{'key': '/authors/OL8708135A'}],"Statistical Abstract For The British Empire, Issues 33-34",['Arkose Press'],568.0,hardcover,,[{'key': '/works/OL24625069W'}],"Nov 06, 2015",['1346150877'],[11300504],"Statistical Abstract For The British Empire, Issues 33-34",['9781346150871'],"{'type': '/type/datetime', 'value': '2021-06-23T21:58:42.913717'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:42.913717'}",{'key': '/type/edition'},/books/OL32671647M,1,1,['amazon:1346150877'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL8708135A,/books/OL32671647M
878,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL2310048A'}}]",Social Theory,,,,,,,,[11300503],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:27.242409'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:27.242409'}",{'key': '/type/work'},/works/OL24625068W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625068W
879,A Grouping of Social Facts and Principles,[{'key': '/authors/OL2310048A'}],Social Theory,['Arkose Press'],568.0,hardcover,"{'type': '/type/text', 'value': 'Source title: Social Theory: A Grouping of Social Facts and Principles'}",[{'key': '/works/OL24625068W'}],"Nov 06, 2015",['1346115192'],[11300503],Social Theory A Grouping of Social Facts and Principles,['9781346115191'],"{'type': '/type/datetime', 'value': '2021-06-23T21:58:27.242409'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:27.242409'}",{'key': '/type/edition'},/books/OL32671646M,1,1,['amazon:1346115192'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL2310048A,/books/OL32671646M
880,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL5999313A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9228033A'}}]",The Works of Orestes A. Brownson Volume 2,,,,,,,,[11300502],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:23.695508'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:23.695508'}",{'key': '/type/work'},/works/OL24625067W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625067W
881,,"[{'key': '/authors/OL5999313A'}, {'key': '/authors/OL9228033A'}]",The Works of Orestes A. Brownson Volume 2,['Arkose Press'],570.0,hardcover,,[{'key': '/works/OL24625067W'}],"Nov 06, 2015",['1346113343'],[11300502],The Works of Orestes A. Brownson Volume 2,['9781346113340'],"{'type': '/type/datetime', 'value': '2021-06-23T21:58:23.695508'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:23.695508'}",{'key': '/type/edition'},/books/OL32671645M,1,1,['amazon:1346113343'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL5999313A,/books/OL32671645M
882,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL2623782A'}}]",The Statist,,,,,,,,[11300501],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:06.098601'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:06.098601'}",{'key': '/type/work'},/works/OL24625066W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625066W
883,"A Journal Of Practical Finance And Trade, Volume 17",[{'key': '/authors/OL2623782A'}],The Statist,['Arkose Press'],574.0,hardcover,"{'type': '/type/text', 'value': 'Source title: The Statist: A Journal Of Practical Finance And Trade, Volume 17'}",[{'key': '/works/OL24625066W'}],"Nov 05, 2015",['1346066256'],[11300501],"The Statist A Journal Of Practical Finance And Trade, Volume 17",['9781346066257'],"{'type': '/type/datetime', 'value': '2021-06-23T21:58:06.098601'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:06.098601'}",{'key': '/type/edition'},/books/OL32671644M,1,1,['amazon:1346066256'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL2623782A,/books/OL32671644M
884,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL2623782A'}}]","The Academy, Volume 61",,,,,,,,[11300500],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:58:00.569199'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:00.569199'}",{'key': '/type/work'},/works/OL24625065W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625065W
885,,[{'key': '/authors/OL2623782A'}],"The Academy, Volume 61",['Arkose Press'],574.0,hardcover,,[{'key': '/works/OL24625065W'}],"Nov 05, 2015",['1346060584'],[11300500],,['9781346060583'],"{'type': '/type/datetime', 'value': '2021-06-23T21:58:00.569199'}","{'type': '/type/datetime', 'value': '2021-06-23T21:58:00.569199'}",{'key': '/type/edition'},/books/OL32671643M,1,1,['amazon:1346060584'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL2623782A,/books/OL32671643M
886,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL4470501A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6030613A'}}]","Biographical Sketches of Graduates of Harvard University, in Cambridge, Massachusetts Volume 2",,,,,,,,[11300499],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:57:42.900768'}","{'type': '/type/datetime', 'value': '2021-06-23T21:57:42.900768'}",{'key': '/type/work'},/works/OL24625064W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625064W
887,,"[{'key': '/authors/OL4470501A'}, {'key': '/authors/OL6030613A'}]","Biographical Sketches of Graduates of Harvard University, in Cambridge, Massachusetts Volume 2",['Arkose Press'],578.0,hardcover,,[{'key': '/works/OL24625064W'}],"Nov 05, 2015",['134602717X'],[11300499],"Biographical Sketches of Graduates of Harvard University, in Cambridge, Massachusetts Volume 2",['9781346027173'],"{'type': '/type/datetime', 'value': '2021-06-23T21:57:42.900768'}","{'type': '/type/datetime', 'value': '2021-06-23T21:57:42.900768'}",{'key': '/type/edition'},/books/OL32671642M,1,1,['amazon:134602717X'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL4470501A,/books/OL32671642M
888,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL4770437A'}}]",A Memoir of Charles Mordaunt Earl of Peterborough and Monmouth,,,,,,,,[11300498],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:57:23.759286'}","{'type': '/type/datetime', 'value': '2021-06-23T21:57:23.759286'}",{'key': '/type/work'},/works/OL24625063W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625063W
889,With Selections From his Correspondence Volume 1,[{'key': '/authors/OL4770437A'}],A Memoir of Charles Mordaunt Earl of Peterborough and Monmouth,['Arkose Press'],582.0,hardcover,"{'type': '/type/text', 'value': 'Source title: A Memoir of Charles Mordaunt Earl of Peterborough and Monmouth: With Selections From his Correspondence Volume 1'}",[{'key': '/works/OL24625063W'}],"Nov 04, 2015",['1345960034'],[11300498],A Memoir of Charles Mordaunt Earl of Peterborough and Monmouth With Selections From his Correspondence Volume 1,['9781345960037'],"{'type': '/type/datetime', 'value': '2021-06-23T21:57:23.759286'}","{'type': '/type/datetime', 'value': '2021-06-23T21:57:23.759286'}",{'key': '/type/edition'},/books/OL32671641M,1,1,['amazon:1345960034'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL4770437A,/books/OL32671641M
890,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9161759A'}}]","House Of Commons Papers, Volume 60",,,,,,,,[11300497],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:56:57.216414'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:57.216414'}",{'key': '/type/work'},/works/OL24625062W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625062W
891,,[{'key': '/authors/OL9161759A'}],"House Of Commons Papers, Volume 60",['Arkose Press'],586.0,hardcover,,[{'key': '/works/OL24625062W'}],"Nov 03, 2015",['1345894406'],[11300497],"House Of Commons Papers, Volume 60",['9781345894400'],"{'type': '/type/datetime', 'value': '2021-06-23T21:56:57.216414'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:57.216414'}",{'key': '/type/edition'},/books/OL32671640M,1,1,['amazon:1345894406'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL9161759A,/books/OL32671640M
892,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL5211362A'}}]","The History Of English Poetry, From The Close Of The Eleventh Century To The Commencement Of The Eighteenth Century, Volume 2",,,,,,,,[11300496],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:56:29.085886'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:29.085886'}",{'key': '/type/work'},/works/OL24625061W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625061W
893,,[{'key': '/authors/OL5211362A'}],"The History Of English Poetry, From The Close Of The Eleventh Century To The Commencement Of The Eighteenth Century, Volume 2",['Arkose Press'],590.0,hardcover,,[{'key': '/works/OL24625061W'}],"Nov 02, 2015",['1345839022'],[11300496],"The History Of English Poetry, From The Close Of The Eleventh Century To The Commencement Of The Eighteenth Century, Volume 2",['9781345839029'],"{'type': '/type/datetime', 'value': '2021-06-23T21:56:29.085886'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:29.085886'}",{'key': '/type/edition'},/books/OL32671639M,1,1,['amazon:1345839022'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL5211362A,/books/OL32671639M
894,"A Concise Exposition Of The History Of Sanskrit, Old Iranian ... Old Armenian, Old ... High German, Lithuanian And Old Bulgarian,",[{'key': '/authors/OL4375968A'}],Elements Of The Comparative Grammar Of The Indo-germanic Languages,['Arkose Press'],590.0,hardcover,"{'type': '/type/text', 'value': 'Source title: Elements Of The Comparative Grammar Of The Indo-germanic Languages: A Concise Exposition Of The History Of Sanskrit, Old Iranian ... Old Armenian, Old ... High German, Lithuanian And Old Bulgarian,'}",[{'key': '/works/OL10541994W'}],"Nov 02, 2015",['1345824572'],[11300495],"Elements Of The Comparative Grammar Of The Indo-germanic Languages A Concise Exposition Of The History Of Sanskrit, Old Iranian ... Old Armenian, Old ... High German, Lithuanian And Old Bulgarian,",['9781345824575'],"{'type': '/type/datetime', 'value': '2021-06-23T21:56:19.050483'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:19.050483'}",{'key': '/type/edition'},/books/OL32671638M,1,1,['amazon:1345824572'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL4375968A,/books/OL32671638M
895,The Fortress Of New France,"[{'key': '/authors/OL5042500A'}, {'key': '/authors/OL6041549A'}]",Old Quebec,['Arkose Press'],592.0,hardcover,"{'type': '/type/text', 'value': 'Source title: Old Quebec: The Fortress Of New France'}",[{'key': '/works/OL24454013W'}],"Nov 02, 2015",['1345809840'],[11300494],Old Quebec The Fortress Of New France,['9781345809848'],"{'type': '/type/datetime', 'value': '2021-06-23T21:56:11.453501'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:11.453501'}",{'key': '/type/edition'},/books/OL32671637M,1,1,['amazon:1345809840'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL5042500A,/books/OL32671637M
896,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7913496A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6025521A'}}]","Harvard Law Review, Volume 9",,,,,,,,[11300493],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:56:08.524710'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:08.524710'}",{'key': '/type/work'},/works/OL24625060W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625060W
897,,"[{'key': '/authors/OL7913496A'}, {'key': '/authors/OL6025521A'}]","Harvard Law Review, Volume 9",['Arkose Press'],592.0,hardcover,,[{'key': '/works/OL24625060W'}],"Nov 02, 2015",['1345809409'],[11300493],,['9781345809404'],"{'type': '/type/datetime', 'value': '2021-06-23T21:56:08.524710'}","{'type': '/type/datetime', 'value': '2021-06-23T21:56:08.524710'}",{'key': '/type/edition'},/books/OL32671636M,1,1,['amazon:1345809409'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/authors/OL7913496A,/books/OL32671636M
898,,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL2623782A'}}]",Quarterly Review,,,,,,,,[11300492],,,"{'type': '/type/datetime', 'value': '2021-06-23T21:55:39.437733'}","{'type': '/type/datetime', 'value': '2021-06-23T21:55:39.437733'}",{'key': '/type/work'},/works/OL24625059W,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/type/author_role,/works/OL24625059W
